"21 786 780 24,00 24,00 869 865 22.49 22.3 814 809 23.74 23.5 841 836 23.32 23.25 840 835 21.26 21.25 "
"22 779 774 23,95 23,80 864 860 22.29 22.25 808 804 23.49 23.35 835 830 23.24 23.1 834 829 21.24 21.1 "
"23 773 767 23,75 23,75 859 855 22.24 22.05 803 798 23.34 23.25 829 824 23.09 23.02 828 824 21.09 21.02 "
"24 766 761 23,70 23,55 854 851 22.04 22 797 791 23.24 23.05 823 818 23.01 23 823 818 21.01 21 "
"25 760 755 23,50 23,50 850 846 21.99 21.8 790 786 23.04 23 817 812 22.99 22.76 817 813 20.99 20.8 "
"26 754 749 23,45 23,30 845 841 21.79 21.75 785 780 22.99 22.8 811 807 22.75 22.75 812 808 20.79 20.75 "
"27 748 743 23,25 23,25 840 837 21.74 21.7 779 775 22.79 22.7 806 801 22.75 22.75 807 802 20.75 20.75 "
"28 742 737 23,20 23,05 836 832 21.69 21.55 774 769 22.69 22.55 800 795 22.74 22.55 801 797 20.74 20.58 "
"29 736 731 23,00 22,90 831 827 21.54 21.5 768 763 22.54 22.45 794 790 22.54 22.5 796 792 20.57 20.5 "
"30 730 726 22,85 22,80 826 822 21.49 21.3 762 758 22.44 22.3 789 784 22.49 22.45 791 786 20.5 20.5 "
"31 725 721 22,75 22,65 821 817 21.29 21.25 757 752 22.29 22.15 783 778 22.44 22.3 785 781 20.49 20.35 "
"32 720 715 22,60 22,55 816 812 21.24 21.1 751 745 22.14 22.05 777 773 22.29 22.25 780 776 20.34 20.3 "
"33 714 710 22,50 22,40 811 808 21.09 21.05 744 739 22.04 21.9 772 768 22.25 22.25 775 771 20.29 20.25 "
"34 709 705 22,35 22,30 807 803 21.04 21 738 734 21.89 21.85 767 762 22.24 22.05 770 766 20.24 20.2 "
"35 704 699 22,25 22,25 802 798 20.99 20.85 733 729 21.84 21.65 761 757 22.04 22 765 761 20.19 20.05 "
"36 698 694 22,20 22,05 797 793 20.84 20.75 728 723 21.64 21.5 756 751 22 22 760 756 20.04 20 "
"37 693 689 22,00 22,00 792 788 20.74 20.6 722 717 21.49 21.35 750 746 21.99 21.85 755 751 20 20 "
"38 688 684 21,95 21,80 787 783 20.59 20.55 716 711 21.34 21.25 745 740 21.84 21.8 750 745 19.99 19.85 "
"39 683 679 21,75 21,75 782 778 20.54 20.5 710 706 21.24 21.1 739 735 21.79 21.75 744 741 19.84 19.8 "
"40 678 674 21,70 21,55 777 774 20.49 20.3 705 701 21.09 21 734 730 21.74 21.65 740 735 19.79 19.75 "
"41 673 669 21,50 21,50 773 769 20.29 20.25 700 696 20.99 20.85 729 725 21.64 21.52 734 731 19.74 19.7 "
"42 668 664 21,45 21,35 768 765 20.24 20.15 695 691 20.84 20.75 724 720 21.51 21.5 730 726 19.69 19.55 "
"43 663 659 21,30 21,25 764 760 20.14 20.05 690 686 20.74 20.6 719 715 21.49 21.45 725 721 19.54 19.5 "
"44 658 655 21,20 21,10 759 755 20.04 20 685 681 20.59 20.5 714 709 21.44 21.27 720 717 19.5 19.5 "
"45 654 650 21,05 21,00 754 750 19.99 19.85 680 677 20.49 20.35 708 704 21.26 21.25 716 712 19.49 19.4 "
"46 649 645 20,95 20,90 749 745 19.84 19.8 676 671 20.34 20.25 703 699 21.25 21.25 711 707 19.39 19.3 "
"47 644 641 20,85 20,80 744 740 19.79 19.75 670 667 20.24 20.15 698 694 21.24 21.1 706 702 19.29 19.25 "
"48 640 636 20,75 20,70 739 735 19.74 19.6 666 662 20.14 20.05 693 689 21.09 21.05 701 698 19.24 19.2 "
"49 635 632 20,60 20,55 734 730 19.59 19.55 661 658 20.04 19.9 688 684 21.04 21 697 693 19.19 19.1 "
"50 631 627 20,50 20,50 729 726 19.54 19.5 657 654 19.89 19.8 683 679 20.99 20.9 692 689 19.09 19.05 "
"51 626 622 20,45 20,30 725 721 19.49 19.3 653 649 19.79 19.7 678 674 20.89 20.8 688 684 19.04 19 "
"52 621 618 20,25 20,25 720 716 19.29 19.25 648 644 19.69 19.55 673 669 20.79 20.75 683 679 18.99 18.95 "
"53 617 613 20,20 20,05 715 711 19.24 19.15 643 640 19.54 19.45 668 664 20.75 20.75 678 675 18.94 18.8 "
"54 612 609 20,00 20,00 710 706 19.14 19.05 639 635 19.44 19.35 663 659 20.74 20.6 674 670 18.79 18.75 "
"55 608 604 19,95 19,85 705 701 19.04 19 634 630 19.34 19.25 658 654 20.59 20.52 669 666 18.75 18.75 "
"56 603 600 19,80 19,75 700 696 18.99 18.9 629 626 19.24 19.1 653 649 20.51 20.5 665 661 18.74 18.65 "
"57 599 596 19,70 19,70 695 692 18.89 18.8 625 622 19.09 19 648 644 20.49 20.41 660 657 18.64 18.53 "
"58 595 592 19,60 19,55 691 687 18.79 18.75 621 617 18.99 18.85 643 639 20.4 20.27 656 652 18.52 18.5 "
"59 591 588 19,50 19,40 686 682 18.74 18.6 616 612 18.84 18.75 638 634 20.26 20.25 651 647 18.5 18.5 "
"60 587 584 19,35 19,30 681 677 18.59 18.55 611 608 18.74 18.65 633 629 20.24 20.2 646 643 18.49 18.4 "
"61 583 580 19,25 19,25 676 673 18.54 18.5 607 603 18.64 18.55 628 624 20.19 20.1 642 638 18.39 18.26 "
"62 579 576 19,20 19,10 672 667 18.49 18.35 602 598 18.54 18.45 623 620 20.09 20.02 637 633 18.25 18.25 "
"63 575 572 19,05 19,00 666 662 18.34 18.25 597 594 18.44 18.25 619 615 20.01 20 632 629 18.24 18.2 "
"64 571 568 18,95 18,85 661 657 18.24 18.2 593 589 18.24 18.15 614 610 19.99 19.85 628 624 18.19 18.1 "
"65 567 564 18,80 18,75 656 652 18.19 18.05 588 584 18.14 18 609 605 19.84 19.76 623 620 18.09 18.02 "
"66 563 560 18,70 18,60 651 647 18.04 18 583 581 17.99 17.9 604 600 19.75 19.75 619 615 18.01 18 "
"67 559 556 18,55 18,50 646 642 17.99 17.95 580 576 17.89 17.8 599 595 19.74 19.65 614 610 17.99 17.87 "
"68 555 552 18,45 18,40 641 637 17.94 17.8 575 571 17.79 17.65 594 591 19.64 19.52 609 605 17.86 17.78 "
"69 551 548 18,35 18,30 636 632 17.79 17.75 570 567 17.64 17.55 590 586 19.51 19.5 604 601 17.77 17.75 "
"70 547 543 18,25 18,15 631 627 17.74 17.6 566 562 17.54 17.45 585 582 19.49 19.4 600 596 17.74 17.7 "
"71 542 539 18,10 18,05 626 622 17.59 17.5 561 558 17.44 17.25 581 577 19.39 19.28 595 592 17.69 17.6 "
"72 538 535 18,00 17,95 621 617 17.49 17.4 557 554 17.24 17.1 576 572 19.27 19.25 591 588 17.59 17.52 "
"73 534 531 17,90 17,80 616 611 17.39 17.3 553 549 17.09 17 571 567 19.24 19.15 587 583 17.51 17.5 "
"74 530 527 17,75 17,70 610 606 17.29 17.25 548 545 16.99 16.85 566 563 19.14 19.02 582 578 17.49 17.35 "
"75 526 523 17,60 17,55 605 600 17.24 17.1 544 540 16.84 16.75 562 558 19.01 19 577 574 17.34 17.27 "
"76 522 519 17,50 17,45 599 595 17.09 17 539 536 16.74 16.6 557 553 18.99 18.85 573 569 17.26 17.25 "
"77 518 515 17,40 17,30 594 591 16.99 16.9 535 532 16.59 16.5 552 548 18.84 18.75 568 564 17.24 17.1 "
"78 514 511 17,25 17,15 590 585 16.89 16.8 531 528 16.49 16.35 547 543 18.74 18.62 563 559 17.09 17.02 "
"79 510 506 17,10 17,00 584 580 16.79 16.65 527 524 16.34 16.25 542 538 18.61 18.52 558 554 17.01 17 "
"80 505 502 16,95 16,90 579 575 16.64 16.55 523 519 16.24 16.15 537 532 18.51 18.5 553 549 16.99 16.85 "
"81 501 498 16,85 16,75 574 569 16.54 16.45 518 515 16.14 16 531 528 18.49 18.35 548 544 16.84 16.77 "
"82 497 493 16,70 16,60 568 564 16.44 16.3         527 522 18.34 18.25 543 539 16.76 16.7 "
"83 492 489 16,55 16,40 563 558 16.29 16.2         521 517 18.24 18.1 538 534 16.69 16.52 "
"84 488 484 16,35 16,25 557 552 16.19 16.05         516 511 18.09 18 533 528 16.51 16.5 "
"85 483 479 16,20 16,10 551 546 16.04 15.9         510 506 17.99 17.9 527 523 16.49 16.35 "
"86 478 474 16,05 15,90                 505 500 17.89 17.75 522 517 16.34 16.25 "
" 87                         499 494 17.74 17.6 516 511 16.24 16.16 "
" 88                         493 488 17.59 17.5 510 504 16.15 16 "
" 89                         487 481 17.49 17.35         "
" 90                         480 474 17.34 17.25         "
" 91                         473 467 17.24 17.05         "
" 92                         466 460 17.04 16.85         "
" 93                         459 452 16.84 16.65         "
" 94                         451 443 16.64 16.45         "
" 95                         442 433 16.44 16.12         "
